Symbol,Timestamp,Date,Open,High,Low,Close,Volume,MA_High,MA_Volume,P_Anomaly,V_Anomaly,PrePump
XZCBTC,1611536400000,2021-01-25 02:00:00,0.00013430,0.00013550,0.00013240,0.00013550,18814.72000000,0.00013515,4980.870833333333,False,False,False
XZCBTC,1611532800000,2021-01-25 01:00:00,0.00013430,0.00013530,0.00013280,0.00013400,4959.99000000,0.00013514166666666667,3627.495833333334,False,False,False
XZCBTC,1611529200000,2021-01-25 00:00:00,0.00013340,0.00013500,0.00013320,0.00013450,1098.30000000,0.00013515833333333332,3658.5183333333334,False,False,False
XZCBTC,1611525600000,2021-01-24 23:00:00,0.00013500,0.00013530,0.00013280,0.00013400,3515.26000000,0.0001352,3884.0141666666664,False,False,False
XZCBTC,1611522000000,2021-01-24 22:00:00,0.00013510,0.00013550,0.00013430,0.00013500,3304.29000000,0.00013521666666666668,3901.7425,False,False,False
XZCBTC,1611518400000,2021-01-24 21:00:00,0.00013420,0.00013530,0.00013340,0.00013490,1872.03000000,0.00013521666666666668,4055.910833333334,False,False,False
XZCBTC,1611514800000,2021-01-24 20:00:00,0.00013430,0.00013550,0.00013390,0.00013410,5661.23000000,0.00013511666666666668,3989.280833333334,False,False,False
XZCBTC,1611511200000,2021-01-24 19:00:00,0.00013470,0.00013510,0.00013370,0.00013430,2248.11000000,0.00013499166666666666,3597.27,False,False,False
XZCBTC,1611507600000,2021-01-24 18:00:00,0.00013400,0.00013490,0.00013340,0.00013470,1160.62000000,0.00013486666666666667,3617.805,False,False,False
XZCBTC,1611504000000,2021-01-24 17:00:00,0.00013310,0.00013480,0.00013260,0.00013350,1962.67000000,0.00013490833333333334,4547.56,False,False,False
XZCBTC,1611500400000,2021-01-24 16:00:00,0.00013230,0.00013410,0.00013230,0.00013260,4524.64000000,0.00013489166666666666,4834.973333333334,False,False,False
XZCBTC,1611496800000,2021-01-24 15:00:00,0.00013540,0.00013550,0.00013140,0.00013240,10648.59000000,0.00013500833333333334,4747.338333333334,False,False,False
XZCBTC,1611493200000,2021-01-24 14:00:00,0.00013490,0.00013540,0.00013460,0.00013510,2574.22000000,0.00013500833333333334,4081.7158333333336,False,False,False
XZCBTC,1611489600000,2021-01-24 13:00:00,0.00013540,0.00013550,0.00013410,0.00013460,5332.26000000,0.00013497272727272728,4218.760909090909,False,False,False
XZCBTC,1611486000000,2021-01-24 12:00:00,0.00013400,0.00013550,0.00013350,0.00013500,3804.25000000,0.00013492000000000002,4107.411,False,False,False
XZCBTC,1611482400000,2021-01-24 11:00:00,0.00013540,0.00013550,0.00013400,0.00013500,3728.00000000,0.00013485555555555557,4141.095555555556,False,False,False
XZCBTC,1611478800000,2021-01-24 10:00:00,0.00013430,0.00013550,0.00013430,0.00013550,5154.31000000,0.000134775,4192.7325,False,False,False
XZCBTC,1611475200000,2021-01-24 09:00:00,0.00013240,0.00013410,0.00013200,0.00013410,1072.47000000,0.0001346714285714286,4055.3642857142854,False,False,False
XZCBTC,1611471600000,2021-01-24 08:00:00,0.00013270,0.00013400,0.00013200,0.00013320,957.10000000,0.00013476666666666667,4552.513333333333,False,False,False
XZCBTC,1611468000000,2021-01-24 07:00:00,0.00013330,0.00013360,0.00013180,0.00013280,2494.53000000,0.00013492000000000002,5271.596,False,False,False
XZCBTC,1611464400000,2021-01-24 06:00:00,0.00013310,0.00013540,0.00013190,0.00013340,12317.68000000,0.00013525,5965.8625,False,False,False
XZCBTC,1611460800000,2021-01-24 05:00:00,0.00013370,0.00013460,0.00013290,0.00013300,5411.63000000,0.0001352,3848.59,False,False,False
XZCBTC,1611457200000,2021-01-24 04:00:00,0.00013530,0.00013550,0.00013340,0.00013360,3473.02000000,0.0001355,3067.0699999999997,False,False,False
XZCBTC,1611453600000,2021-01-24 03:00:00,0.00013550,0.00013550,0.00013440,0.00013530,2661.12000000,0.0001355,2661.12,False,False,False
